..........................................................................................................done
...done

task	acc_norm
1107	49.32249322
1108	49.36823105
1109	49.41388638
1110	49.36936937
1111	49.41494149
1112	49.37050360
1113	49.32614555
1114	49.37163375
1115	49.41704036
1116	49.37275986
1117	49.32855864
1118	49.28443649
1119	49.24039321
1120	49.19642857
1121	49.24174844
1122	49.19786096
1123	49.15405165
1124	49.11032028
1125	49.15555556
1126	49.20071048
1127	49.24578527
1128	49.29078014
1129	49.24712135
1130	49.20353982
1131	49.24845270
1132	49.29328622
1133	49.24977935
1134	49.29453263
1135	49.33920705
1136	49.38380282
1137	49.34036939
1138	49.38488576
1139	49.42932397
1140	49.38596491
1141	49.34268186
1142	49.38704028
1143	49.43132108
1144	49.47552448
1145	49.43231441
1146	49.38917976
1147	49.34612031
1148	49.30313589
1149	49.34725849
1150	49.39130435
1151	49.43527368
1152	49.47916667
1153	49.43625325
1154	49.39341421
1155	49.35064935
1156	49.30795848
1157	49.26534140
1158	49.30915371
1159	49.26660915
1160	49.31034483
1161	49.35400517
1162	49.39759036
1163	49.35511608
1164	49.31271478
1165	49.27038627
1166	49.31389365
1167	49.35732648
1168	49.31506849
1169	49.35842601
1170	49.40170940
1171	49.44491887
1172	49.48805461


